P_ProfileID,PortfolioID,PlanType
11260524,11260524-1,RRSP-REG
11260090,11260090-1,RRSP-REG
11260058,11260058-1,RRSP-REG
934080,934080-1,RRSP-REG
893525,893525-1,RRSP-REG
306824,306824-1,RRSP-REG
11116961,11116961-1,RRSP-REG
1059323,1059323-1,RRSP-REG
1176066,1176066-1,RRSP-REG
11138390,11138390-1,RRSP-REG
1010243,1010243-1,RRSP-REG
40014259,40014259-2,RRSP-REG
548760,548760-1,RRSP-REG
573366,573366-1,RRSP-REG
934820,934820-1,RRSP-REG
640230,640230-2,RRSP-REG
976996,976996-1,RRSP-REG
1067099,1067099-1,RRSP-REG
976783,976783-1,RRSP-REG
1000433,1000433-1,RRSP-REG
1000973,1000973-1,RRSP-REG
1004639,1004639-1,RRSP-REG
1004843,1004843-1,RRSP-REG
100523,100523-1,RRSP-REG
1006261,1006261-1,RRSP-REG
1006419,1006419-2,RRSP-REG
1007439,1007439-1,RRSP-REG
1007717,1007717-1,RRSP-REG
1007755,1007755-1,RRSP-REG
1007934,1007934-1,RRSP-REG
1007959,1007959-1,RRSP-REG
1007961,1007961-1,RRSP-REG
1008039,1008039-2,RRSP-REG
1008062,1008062-3,RRSP-REG
1008068,1008068-1,RRSP-REG
1008252,1008252-1,RRSP-REG
1008401,1008401-1,RRSP-REG
1008488,1008488-1,RRSP-REG
1008500,1008500-2,RRSP-REG
1008666,1008666-1,RRSP-REG
1008741,1008741-1,RRSP-REG
1008897,1008897-1,RRSP-REG
1009074,1009074-1,RRSP-REG
1009122,1009122-1,RRSP-REG
1009162,1009162-1,RRSP-REG
1009420,1009420-1,RRSP-REG
1009545,1009545-1,RRSP-REG
1009585,1009585-1,RRSP-REG
1009686,1009686-2,RRSP-REG
1009836,1009836-2,RRSP-REG
1009906,1009906-1,RRSP-REG
1010053,1010053-1,RRSP-REG
1010106,1010106-1,RRSP-REG
1010122,1010122-1,RRSP-REG
1010186,1010186-1,RRSP-REG
1010236,1010236-1,RRSP-REG
1010282,1010282-1,RRSP-REG
1010432,1010432-1,RRSP-REG
1010435,1010435-1,RRSP-REG
1010514,1010514-1,RRSP-REG
1010539,1010539-1,RRSP-REG
101055,101055-1,RRSP-REG
1010704,1010704-1,RRSP-REG
1010732,1010732-1,RRSP-REG
1010759,1010759-1,RRSP-REG
1011187,1011187-1,RRSP-REG
1011222,1011222-1,RRSP-REG
1011367,1011367-1,RRSP-REG
1011440,1011440-1,RRSP-REG
1011738,1011738-1,RRSP-REG
1011756,1011756-1,RRSP-REG
101176,101176-1,RRSP-REG
1011852,1011852-1,RRSP-REG
1011910,1011910-1,RRSP-REG
1012059,1012059-1,RRSP-REG
1012097,1012097-1,RRSP-REG
1012175,1012175-1,RRSP-REG
1012240,1012240-2,RRSP-REG
1012305,1012305-1,RRSP-REG
1012498,1012498-1,RRSP-REG
1012956,1012956-1,RRSP-REG
1012994,1012994-1,RRSP-REG
1013373,1013373-2,RRSP-REG
1013402,1013402-1,RRSP-REG
1013498,1013498-1,RRSP-REG
1014491,1014491-1,RRSP-REG
1017878,1017878-1,RRSP-REG
1018112,1018112-3,RRSP-REG
1018236,1018236-1,RRSP-REG
101864,101864-1,RRSP-REG
1018692,1018692-2,RRSP-REG
1019151,1019151-1,RRSP-REG
101939,101939-1,RRSP-REG
101946,101946-1,RRSP-REG
1020034,1020034-1,RRSP-REG
1020054,1020054-1,RRSP-REG
1021184,1021184-1,RRSP-REG
102225,102225-1,RRSP-REG
1023958,1023958-1,RRSP-REG
1024094,1024094-1,RRSP-REG
1024776,1024776-1,RRSP-REG
1024864,1024864-2,RRSP-REG
1025208,1025208-1,RRSP-REG
1025316,1025316-2,RRSP-REG
1025649,1025649-1,RRSP-REG
1025712,1025712-1,RRSP-REG
1025727,1025727-1,RRSP-REG
1025852,1025852-2,RRSP-REG
1025982,1025982-1,RRSP-REG
1026185,1026185-1,RRSP-REG
1026197,1026197-1,RRSP-REG
1026199,1026199-1,RRSP-REG
1026577,1026577-1,RRSP-REG
1026592,1026592-1,RRSP-REG
1026721,1026721-2,RRSP-REG
1026731,1026731-1,RRSP-REG
1026743,1026743-1,RRSP-REG
1026862,1026862-1,RRSP-REG
1026865,1026865-1,RRSP-REG
1026966,1026966-1,RRSP-REG
1026984,1026984-1,RRSP-REG
1027333,1027333-1,RRSP-REG
1027382,1027382-1,RRSP-REG
1027603,1027603-2,RRSP-REG
1027737,1027737-1,RRSP-REG
1027754,1027754-1,RRSP-REG
1027765,1027765-1,RRSP-REG
1027817,1027817-1,RRSP-REG
1027846,1027846-1,RRSP-REG
1027853,1027853-2,RRSP-REG
1027989,1027989-1,RRSP-REG
1028061,1028061-1,RRSP-REG
1028111,1028111-1,RRSP-REG
1028112,1028112-2,RRSP-REG
1028240,1028240-1,RRSP-REG
1028278,1028278-1,RRSP-REG
1028313,1028313-1,RRSP-REG
1028336,1028336-1,RRSP-REG
1028364,1028364-1,RRSP-REG
1028547,1028547-1,RRSP-REG
1028606,1028606-1,RRSP-REG
1028629,1028629-1,RRSP-REG
1028909,1028909-2,RRSP-REG
1028959,1028959-1,RRSP-REG
1028991,1028991-1,RRSP-REG
1029102,1029102-1,RRSP-REG
1029308,1029308-2,RRSP-REG
1029324,1029324-1,RRSP-REG
1029387,1029387-1,RRSP-REG
102951,102951-1,RRSP-REG
1029717,1029717-2,RRSP-REG
1029738,1029738-1,RRSP-REG
1030044,1030044-2,RRSP-REG
1030101,1030101-1,RRSP-REG
1030146,1030146-3,RRSP-REG
1030199,1030199-1,RRSP-REG
1030238,1030238-1,RRSP-REG
1030326,1030326-1,RRSP-REG
1030632,1030632-1,RRSP-REG
1031058,1031058-1,RRSP-REG
1031792,1031792-1,RRSP-REG
1032074,1032074-1,RRSP-REG
1032538,1032538-1,RRSP-REG
1032593,1032593-1,RRSP-REG
