P_ProfileID,PortfolioID,PlanType
11258140,11258140-1,RRSP-REG
11258547,11258547-1,RRSP-REG
11259263,11259263-1,RRSP-REG
11259303,11259303-1,RRSP-REG
11259954,11259954-1,RRSP-REG
11259957,11259957-1,RRSP-REG
11260058,11260058-1,RRSP-REG
11260090,11260090-1,RRSP-REG
11260427,11260427-1,RRSP-REG
11260524,11260524-1,RRSP-REG
11260658,11260658-1,RRSP-REG
11260839,11260839-1,RRSP-REG
11260897,11260897-1,RRSP-REG
11260898,11260898-1,RRSP-REG
11261170,11261170-1,RRSP-REG
11261356,11261356-2,RRSP-REG
11261684,11261684-1,RRSP-REG
11261931,11261931-1,RRSP-REG
11262153,11262153-3,RRSP-REG
11262240,11262240-1,RRSP-REG
11262502,11262502-1,RRSP-REG
11262561,11262561-2,RRSP-REG
11262579,11262579-1,RRSP-REG
1126317,1126317-2,RRSP-REG
11263495,11263495-1,RRSP-REG
11263795,11263795-2,RRSP-REG
11263937,11263937-1,RRSP-REG
11263963,11263963-2,RRSP-REG
11264268,11264268-1,RRSP-REG
11264578,11264578-1,RRSP-REG
11265495,11265495-1,RRSP-REG
11265810,11265810-2,RRSP-REG
11265968,11265968-1,RRSP-REG
11266458,11266458-2,RRSP-REG
11266654,11266654-2,RRSP-REG
1126776,1126776-1,RRSP-REG
11268026,11268026-2,RRSP-REG
11268424,11268424-1,RRSP-REG
11268434,11268434-1,RRSP-REG
11268813,11268813-4,RRSP-REG
11268841,11268841-2,RRSP-REG
11268942,11268942-1,RRSP-REG
11268981,11268981-1,RRSP-REG
11269070,11269070-1,RRSP-REG
11269143,11269143-1,RRSP-REG
11269197,11269197-1,RRSP-REG
11269254,11269254-2,RRSP-REG
11269648,11269648-1,RRSP-REG
11269862,11269862-1,RRSP-REG
11269865,11269865-1,RRSP-REG
11269968,11269968-1,RRSP-REG
112703,112703-1,RRSP-REG
11270305,11270305-1,RRSP-REG
11270612,11270612-1,RRSP-REG
11271068,11271068-1,RRSP-REG
11271109,11271109-1,RRSP-REG
11271401,11271401-1,RRSP-REG
11271971,11271971-1,RRSP-REG
11272231,11272231-1,RRSP-REG
11272800,11272800-1,RRSP-REG
11272809,11272809-2,RRSP-REG
11273506,11273506-1,RRSP-REG
11273821,11273821-2,RRSP-REG
11274054,11274054-1,RRSP-REG
11274365,11274365-1,RRSP-REG
11274785,11274785-1,RRSP-REG
11274948,11274948-1,RRSP-REG
11274952,11274952-2,RRSP-REG
11277079,11277079-2,RRSP-REG
11277644,11277644-1,RRSP-REG
11277705,11277705-3,RRSP-REG
11277713,11277713-2,RRSP-REG
11277787,11277787-1,RRSP-REG
11278039,11278039-1,RRSP-REG
11278048,11278048-1,RRSP-REG
11278185,11278185-1,RRSP-REG
11278769,11278769-1,RRSP-REG
11278873,11278873-1,RRSP-REG
11279618,11279618-2,RRSP-REG
11279812,11279812-1,RRSP-REG
11279899,11279899-2,RRSP-REG
11279922,11279922-2,RRSP-REG
11281087,11281087-1,RRSP-REG
11281471,11281471-1,RRSP-REG
11281592,11281592-1,RRSP-REG
11281593,11281593-2,RRSP-REG
11281685,11281685-1,RRSP-REG
